2025-04-03 16:12:07.691664: Волк (7, 6) съел Кролик на (7, 5). Голод: 0
2025-04-03 16:12:12.666126: Овца переместился с (4, 15) в (3, 15). Голод: 1
2025-04-03 16:12:12.674294: Орел переместился с (8, 17) в (8, 16). Голод: 3
2025-04-03 16:12:12.682376: Лошадь переместился с (19, 8) в (18, 8). Голод: 1
2025-04-03 16:12:12.690550: Коза переместился с (4, 18) в (5, 17). Голод: 1
2025-04-03 16:12:12.698656: Лиса переместился с (17, 9) в (18, 9). Голод: 3
2025-04-03 16:12:12.706841: Коза переместился с (19, 15) в (19, 14). Голод: 3
2025-04-03 16:12:12.714934: Кролик переместился с (5, 1) в (4, 2). Голод: 3
2025-04-03 16:12:12.723113: Мышь переместился с (0, 11) в (1, 12). Голод: 1
2025-04-03 16:12:12.731197: Медведь переместился с (6, 3) в (7, 3). Голод: 3
2025-04-03 16:12:12.739370: Орел переместился с (14, 8) в (15, 9). Голод: 1
2025-04-03 16:12:12.747532: Кролик переместился с (12, 7) в (13, 8). Голод: 3
2025-04-03 16:12:12.756636: Медведь переместился с (13, 0) в (12, 0). Голод: 3
2025-04-03 16:12:12.763825: Коза переместился с (18, 15) в (18, 14). Голод: 1
2025-04-03 16:12:12.771929: Кролик переместился с (12, 15) в (13, 16). Голод: 1
2025-04-03 16:12:12.780103: Мышь переместился с (14, 13) в (13, 14). Голод: 1
2025-04-03 16:12:12.788283: Овца переместился с (14, 7) в (15, 8). Голод: 3
2025-04-03 16:12:12.796559: Кролик переместился с (12, 12) в (13, 12). Голод: 1
2025-04-03 16:12:12.804758: Медведь переместился с (3, 8) в (4, 7). Голод: 3
2025-04-03 16:12:12.811848: Лиса переместился с (9, 13) в (9, 12). Голод: 1
2025-04-03 16:12:12.820082: Мышь переместился с (9, 14) в (9, 15). Голод: 1
2025-04-03 16:12:12.828224: Медведь переместился с (18, 3) в (19, 4). Голод: 1
2025-04-03 16:12:12.836450: Лиса переместился с (3, 2) в (3, 1). Голод: 3
2025-04-03 16:12:12.844563: Коза переместился с (1, 10) в (2, 10). Голод: 3
2025-04-03 16:12:12.854827: Волк (5, 18) съел Коза на (5, 17). Голод: 0
2025-04-03 16:12:12.864916: Волк (14, 8) съел Овца на (15, 8). Голод: 0
2025-04-03 16:12:12.876918: Волк (12, 17) съел Кролик на (13, 16). Голод: 0
2025-04-03 16:12:12.886915: Волк (19, 14) съел Коза на (18, 14). Голод: 0
2025-04-03 16:12:12.894915: Медведь (18, 13) съел Коза на (18, 14). Голод: 0
2025-04-03 16:12:12.902913: Коза (17, 16) съел растение на (16, 17). Голод: 0
2025-04-03 16:12:12.910915: Мышь (9, 9) съел растение на (8, 8). Голод: 0
2025-04-03 16:12:12.918949: Овца (3, 15) съел растение на (2, 16). Голод: 0
2025-04-03 16:12:12.927041: Коза (5, 17) съел растение на (6, 16). Голод: 0
2025-04-03 16:12:12.935218: Мышь (1, 12) съел растение на (2, 11). Голод: 0
2025-04-03 16:12:12.943419: Мышь (13, 14) съел растение на (14, 15). Голод: 0
2025-04-03 16:12:12.951606: Овца (15, 8) съел растение на (14, 9). Голод: 0
2025-04-03 16:12:12.959835: Коза (2, 10) съел растение на (1, 11). Голод: 0
2025-04-03 16:12:12.968018: Волк переместился с (6, 1) в (6, 0). Голод: 3
2025-04-03 16:12:12.976236: Волк переместился с (5, 18) в (5, 17). Голод: 1
2025-04-03 16:12:12.984366: Волк переместился с (9, 3) в (9, 2). Голод: 5
2025-04-03 16:12:12.991702: Волк переместился с (18, 11) в (18, 12). Голод: 5
2025-04-03 16:12:12.999793: Волк переместился с (7, 12) в (8, 11). Голод: 5
2025-04-03 16:12:13.008055: Волк переместился с (8, 18) в (8, 19). Голод: 5
2025-04-03 16:12:13.016220: Волк переместился с (4, 19) в (5, 19). Голод: 3
2025-04-03 16:12:13.024437: Волк переместился с (1, 5) в (1, 4). Голод: 5
2025-04-03 16:12:13.033705: Волк переместился с (11, 11) в (12, 10). Голод: 5
2025-04-03 16:12:13.044899: Волк переместился с (2, 19) в (1, 0). Голод: 3
2025-04-03 16:12:13.057171: Волк переместился с (11, 10) в (12, 10). Голод: 5
2025-04-03 16:12:13.073259: Волк переместился с (12, 17) в (11, 17). Голод: 1
2025-04-03 16:12:13.091500: Волк переместился с (19, 14) в (18, 13). Голод: 1
2025-04-03 16:12:13.105797: Волк переместился с (2, 2) в (2, 1). Голод: 5
2025-04-03 16:12:13.118880: Волк переместился с (4, 9) в (3, 10). Голод: 5
2025-04-03 16:12:13.136067: Медведь переместился с (18, 13) в (19, 14). Голод: 1
2025-04-03 16:12:13.156071: Коза переместился с (17, 16) в (16, 17). Голод: 1
2025-04-03 16:12:13.171804: Мышь переместился с (9, 9) в (9, 8). Голод: 1
2025-04-03 16:12:13.183141: Орел переместился с (11, 8) в (12, 7). Голод: 5
2025-04-03 16:12:13.194314: Овца переместился с (3, 15) в (3, 14). Голод: 1
2025-04-03 16:12:13.203696: Коза переместился с (5, 17) в (5, 18). Голод: 1
2025-04-03 16:12:13.211781: Медведь переместился с (14, 4) в (14, 3). Голод: 5
2025-04-03 16:12:13.219983: Мышь переместился с (1, 12) в (0, 13). Голод: 1
2025-04-03 16:12:13.228077: Медведь переместился с (7, 3) в (6, 4). Голод: 5
2025-04-03 16:12:13.236342: Медведь переместился с (12, 0) в (12, 1). Голод: 5
2025-04-03 16:12:13.244491: Коза переместился с (18, 14) в (19, 13). Голод: 3
2025-04-03 16:12:13.252665: Кролик переместился с (13, 16) в (13, 15). Голод: 3
2025-04-03 16:12:13.260791: Мышь переместился с (13, 14) в (12, 14). Голод: 1
2025-04-03 16:12:13.268923: Лиса переместился с (9, 5) в (10, 6). Голод: 5
2025-04-03 16:12:13.277097: Овца переместился с (15, 8) в (16, 8). Голод: 1
2025-04-03 16:12:13.284260: Кролик переместился с (13, 12) в (14, 12). Голод: 3
2025-04-03 16:12:13.293401: Медведь переместился с (4, 7) в (4, 8). Голод: 5
2025-04-03 16:12:13.301580: Медведь переместился с (19, 4) в (0, 3). Голод: 3
2025-04-03 16:12:13.309699: Лиса переместился с (3, 1) в (2, 2). Голод: 5
2025-04-03 16:12:13.317874: Коза переместился с (2, 10) в (3, 9). Голод: 1
2025-04-03 16:12:13.683844: Волк (1, 4) и Волк (0, 4) размножились. Новый детеныш на (0, 4)
2025-04-03 16:12:13.684690: Волк (1, 0) и Волк (2, 1) размножились. Новый детеныш на (1, 0)
2025-04-03 16:12:13.692891: Волк (3, 10) съел Коза на (3, 9). Голод: 0
2025-04-03 16:12:13.701150: Коза (16, 17) съел растение на (17, 18). Голод: 0
2025-04-03 16:12:13.709233: Мышь (9, 8) съел растение на (10, 7). Голод: 0
2025-04-03 16:12:13.717502: Лиса (1, 3) и Лиса (2, 2) размножились. Новый детеныш на (1, 2)
2025-04-03 16:12:13.725598: Овца (3, 14) съел растение на (4, 13). Голод: 0
2025-04-03 16:12:13.733876: Мышь (12, 14) съел растение на (12, 13). Голод: 0
2025-04-03 16:12:13.741986: Медведь (4, 8) съел Коза на (3, 9). Голод: 0
2025-04-03 16:12:13.750262: Коза (3, 9) съел растение на (2, 8). Голод: 0
2025-04-03 16:12:13.758473: Волк переместился с (6, 0) в (7, 19). Голод: 5
2025-04-03 16:12:13.765658: Волк переместился с (5, 17) в (4, 17). Голод: 3
2025-04-03 16:12:13.773753: Волк переместился с (9, 2) в (8, 1). Голод: 7
2025-04-03 16:12:13.782009: Волк переместился с (14, 8) в (13, 8). Голод: 3
2025-04-03 16:12:13.790240: Волк переместился с (8, 11) в (9, 12). Голод: 7
2025-04-03 16:12:13.798385: Волк переместился с (8, 19) в (8, 0). Голод: 7
2025-04-03 16:12:13.806611: Волк переместился с (1, 4) в (2, 3). Голод: 7
2025-04-03 16:12:13.814754: Волк переместился с (12, 10) в (11, 9). Голод: 7
2025-04-03 16:12:13.823036: Волк переместился с (0, 4) в (19, 5). Голод: 7
2025-04-03 16:12:13.831165: Волк переместился с (1, 0) в (2, 0). Голод: 5
2025-04-03 16:12:13.839440: Волк переместился с (11, 17) в (10, 17). Голод: 3
2025-04-03 16:12:13.847564: Волк переместился с (18, 13) в (17, 14). Голод: 3
2025-04-03 16:12:13.855834: Волк переместился с (2, 1) в (1, 2). Голод: 7
2025-04-03 16:12:13.864040: Волк переместился с (17, 10) в (18, 11). Голод: 7
2025-04-03 16:12:13.872167: Волк переместился с (3, 10) в (4, 11). Голод: 1
2025-04-03 16:12:13.880472: Коза переместился с (16, 17) в (15, 17). Голод: 1
2025-04-03 16:12:13.888569: Мышь переместился с (9, 8) в (8, 9). Голод: 1
2025-04-03 16:12:13.896825: Орел переместился с (12, 7) в (13, 8). Голод: 7
2025-04-03 16:12:13.904912: Лиса переместился с (1, 3) в (2, 3). Голод: 7
2025-04-03 16:12:13.913169: Овца переместился с (3, 14) в (4, 15). Голод: 1
2025-04-03 16:12:13.921409: Мышь переместился с (0, 13) в (0, 14). Голод: 3
2025-04-03 16:12:13.929553: Медведь переместился с (12, 1) в (11, 0). Голод: 7
2025-04-03 16:12:13.937647: Мышь переместился с (12, 14) в (13, 14). Голод: 1
2025-04-03 16:12:13.945910: Лиса переместился с (2, 2) в (2, 1). Голод: 7
2025-04-03 16:12:13.954152: Коза переместился с (3, 9) в (2, 9). Голод: 1
2025-04-03 16:12:14.683342: Волк (8, 1) и Волк (8, 0) размножились. Новый детеныш на (8, 0)
2025-04-03 16:12:14.683342: Коза (15, 17) съел растение на (16, 16). Голод: 0
2025-04-03 16:12:14.691522: Мышь (8, 9) съел растение на (7, 9). Голод: 0
2025-04-03 16:12:14.700729: Лошадь (18, 8) съел растение на (18, 9). Голод: 0
2025-04-03 16:12:14.708980: Волк переместился с (7, 19) в (6, 18). Голод: 7
2025-04-03 16:12:14.717125: Волк переместился с (4, 17) в (3, 17). Голод: 5
2025-04-03 16:12:14.724405: Волк переместился с (8, 1) в (9, 0). Голод: 9
2025-04-03 16:12:14.732531: Волк переместился с (13, 8) в (14, 7). Голод: 5
2025-04-03 16:12:14.740808: Волк переместился с (8, 0) в (9, 19). Голод: 9
2025-04-03 16:12:14.748945: Волк переместился с (10, 17) в (10, 16). Голод: 5
2025-04-03 16:12:14.760236: Волк переместился с (17, 14) в (16, 15). Голод: 5
2025-04-03 16:12:14.768444: Волк переместился с (1, 2) в (0, 1). Голод: 9
2025-04-03 16:12:14.776587: Волк переместился с (18, 11) в (19, 11). Голод: 9
2025-04-03 16:12:14.784856: Волк переместился с (4, 11) в (4, 10). Голод: 3
2025-04-03 16:12:14.793006: Медведь переместился с (19, 14) в (18, 15). Голод: 5
2025-04-03 16:12:14.800279: Коза переместился с (15, 17) в (16, 18). Голод: 1
2025-04-03 16:12:14.811446: Мышь переместился с (8, 9) в (7, 10). Голод: 1
2025-04-03 16:12:14.822780: Овца переместился с (4, 15) в (3, 16). Голод: 3
2025-04-03 16:12:14.830878: Лошадь переместился с (18, 8) в (17, 8). Голод: 1
2025-04-03 16:12:14.843143: Мышь переместился с (0, 14) в (19, 14). Голод: 5
2025-04-03 16:12:14.855335: Медведь переместился с (11, 0) в (10, 1). Голод: 9
2025-04-03 16:12:14.866544: Мышь переместился с (13, 14) в (14, 13). Голод: 3
2025-04-03 16:12:14.879822: Медведь переместился с (4, 8) в (3, 9). Голод: 3
2025-04-03 16:12:14.890006: Лиса переместился с (2, 1) в (2, 2). Голод: 9
2025-04-03 16:12:14.900244: Волк переместился с (0, 4) в (1, 4). Голод: 1
2025-04-03 16:12:14.909323: Волк переместился с (1, 0) в (2, 0). Голод: 1
2025-04-03 16:12:15.682927: Волк (3, 17) съел Овца на (3, 16). Голод: 0
2025-04-03 16:12:15.682927: Медведь (18, 15) съел Мышь на (19, 14). Голод: 0
2025-04-03 16:12:15.692177: Мышь (7, 10) съел растение на (7, 11). Голод: 0
2025-04-03 16:12:15.701456: Лошадь (17, 8) съел растение на (16, 9). Голод: 0
2025-04-03 16:12:15.709689: Мышь (14, 13) съел растение на (14, 12). Голод: 0
2025-04-03 16:12:15.717829: Волк переместился с (6, 18) в (7, 17). Голод: 9
2025-04-03 16:12:15.726096: Волк переместился с (3, 17) в (4, 17). Голод: 1
2025-04-03 16:12:15.734237: Волк переместился с (9, 0) в (9, 19). Голод: 11
2025-04-03 16:12:15.742503: Волк переместился с (14, 7) в (14, 6). Голод: 7
2025-04-03 16:12:15.750643: Волк переместился с (19, 5) в (18, 6). Голод: 11
2025-04-03 16:12:15.758777: Волк переместился с (10, 16) в (11, 17). Голод: 7
2025-04-03 16:12:15.767953: Волк переместился с (0, 1) в (1, 1). Голод: 11
2025-04-03 16:12:15.776062: Волк переместился с (19, 11) в (19, 12). Голод: 11
2025-04-03 16:12:15.784320: Медведь переместился с (18, 15) в (18, 16). Голод: 1
2025-04-03 16:12:15.792411: Мышь переместился с (7, 10) в (6, 11). Голод: 1
2025-04-03 16:12:15.800627: Овца переместился с (3, 16) в (4, 15). Голод: 5
2025-04-03 16:12:15.809899: Лошадь переместился с (17, 8) в (16, 8). Голод: 1
2025-04-03 16:12:15.818038: Мышь переместился с (19, 14) в (18, 13). Голод: 7
2025-04-03 16:12:15.826309: Медведь переместился с (10, 1) в (9, 2). Голод: 11
2025-04-03 16:12:15.834507: Медведь переместился с (3, 9) в (2, 10). Голод: 5
2025-04-03 16:12:15.844516: Медведь переместился с (0, 3) в (1, 3). Голод: 9
2025-04-03 16:12:15.854755: Волк переместился с (1, 4) в (0, 5). Голод: 3
2025-04-03 16:12:15.862973: Волк переместился с (8, 0) в (9, 19). Голод: 1
2025-04-03 16:12:16.689239: Волк переместился с (4, 17) в (3, 17). Голод: 3
2025-04-03 16:12:16.689239: Волк переместился с (14, 6) в (13, 5). Голод: 9
2025-04-03 16:12:16.697534: Волк переместился с (2, 3) в (2, 2). Голод: 13
2025-04-03 16:12:16.706569: Волк переместился с (18, 6) в (19, 5). Голод: 13
2025-04-03 16:12:16.713834: Волк переместился с (11, 17) в (12, 17). Голод: 9
2025-04-03 16:12:16.721931: Волк переместился с (16, 15) в (17, 15). Голод: 9
2025-04-03 16:12:16.730150: Волк переместился с (1, 1) в (2, 0). Голод: 13
2025-04-03 16:12:16.738283: Волк переместился с (19, 12) в (18, 13). Голод: 13
2025-04-03 16:12:16.746506: Медведь переместился с (18, 16) в (18, 17). Голод: 3
2025-04-03 16:12:16.754767: Медведь переместился с (9, 2) в (8, 1). Голод: 13
2025-04-03 16:12:16.762910: Медведь переместился с (2, 10) в (1, 11). Голод: 7
2025-04-03 16:12:16.772219: Медведь переместился с (1, 3) в (1, 2). Голод: 11
2025-04-03 16:12:16.781348: Лиса переместился с (2, 2) в (2, 1). Голод: 13
2025-04-03 16:12:17.683759: Волк переместился с (3, 17) в (4, 18). Голод: 5
2025-04-03 16:12:17.684364: Волк переместился с (2, 2) в (3, 3). Голод: 15
2025-04-03 16:12:17.692552: Волк переместился с (19, 5) в (0, 6). Голод: 15
2025-04-03 16:12:17.700737: Волк переместился с (12, 17) в (13, 18). Голод: 11
2025-04-03 16:12:17.709021: Волк переместился с (17, 15) в (16, 16). Голод: 11
2025-04-03 16:12:17.717156: Волк переместился с (18, 13) в (17, 12). Голод: 15
2025-04-03 16:12:17.725227: Медведь переместился с (18, 17) в (17, 17). Голод: 5
2025-04-03 16:12:17.733498: Медведь переместился с (8, 1) в (7, 1). Голод: 15
2025-04-03 16:12:17.741729: Мышь переместился с (14, 13) в (14, 12). Голод: 5
2025-04-03 16:12:17.749905: Медведь переместился с (1, 11) в (0, 12). Голод: 9
2025-04-03 16:12:17.758136: Медведь переместился с (1, 2) в (1, 1). Голод: 13
2025-04-03 16:12:17.766309: Лиса переместился с (2, 1) в (3, 0). Голод: 15
2025-04-03 16:12:18.690786: Волк переместился с (4, 18) в (5, 18). Голод: 7
2025-04-03 16:12:18.690786: Волк переместился с (13, 18) в (12, 17). Голод: 13
2025-04-03 16:12:18.700120: Волк переместился с (16, 16) в (17, 15). Голод: 13
2025-04-03 16:12:18.708332: Медведь переместился с (17, 17) в (16, 16). Голод: 7
2025-04-03 16:12:18.716502: Мышь переместился с (14, 12) в (15, 12). Голод: 7
2025-04-03 16:12:18.724689: Медведь переместился с (0, 12) в (1, 11). Голод: 11
2025-04-03 16:12:18.732958: Медведь переместился с (1, 1) в (0, 1). Голод: 15
2025-04-03 16:12:19.686285: Волк переместился с (5, 18) в (5, 17). Голод: 9
2025-04-03 16:12:19.686285: Волк переместился с (3, 3) в (4, 2). Голод: 19
2025-04-03 16:12:19.694563: Волк переместился с (12, 17) в (13, 16). Голод: 15
2025-04-03 16:12:19.702688: Волк переместился с (17, 15) в (16, 14). Голод: 15
2025-04-03 16:12:19.710972: Медведь переместился с (16, 16) в (17, 17). Голод: 9
2025-04-03 16:12:19.719112: Мышь переместился с (15, 12) в (15, 13). Голод: 9
2025-04-03 16:12:19.727377: Медведь переместился с (1, 11) в (2, 12). Голод: 13
2025-04-03 16:12:19.735474: Медведь переместился с (0, 1) в (0, 0). Голод: 17
2025-04-03 16:12:20.687044: Волк (16, 14) съел Мышь на (15, 13). Голод: 0
2025-04-03 16:12:20.687044: Волк умер от голода на (4, 2).
2025-04-03 16:12:20.696331: Волк переместился с (5, 17) в (6, 18). Голод: 11
2025-04-03 16:12:20.704547: Волк переместился с (4, 2) в (3, 3). Голод: 21
2025-04-03 16:12:20.712691: Волк переместился с (13, 16) в (13, 17). Голод: 17
2025-04-03 16:12:20.720978: Волк переместился с (16, 14) в (16, 15). Голод: 1
2025-04-03 16:12:20.729074: Медведь переместился с (17, 17) в (18, 18). Голод: 11
2025-04-03 16:12:20.737327: Мышь переместился с (15, 13) в (16, 12). Голод: 11
2025-04-03 16:12:20.745425: Медведь переместился с (0, 0) в (0, 19). Голод: 19
2025-04-03 16:12:21.687653: Волк переместился с (13, 17) в (12, 16). Голод: 19
2025-04-03 16:12:21.687653: Медведь переместился с (18, 18) в (18, 17). Голод: 13
2025-04-03 16:12:22.678338: Волк умер от голода на (12, 16).
2025-04-03 16:12:22.678338: Волк переместился с (12, 16) в (11, 17). Голод: 21
2025-04-03 16:12:22.687473: Медведь переместился с (18, 17) в (19, 17). Голод: 15
2025-04-03 16:12:23.686668: Волк переместился с (16, 15) в (15, 15). Голод: 7
2025-04-03 16:12:24.688789: Волк переместился с (6, 18) в (7, 18). Голод: 19
2025-04-03 16:12:24.688789: Волк переместился с (15, 15) в (16, 14). Голод: 9
2025-04-03 16:12:24.697745: Медведь переместился с (19, 17) в (0, 17). Голод: 19
2025-04-03 16:12:25.687822: Волк умер от голода на (7, 18).
2025-04-03 16:12:25.687822: Медведь умер от голода на (0, 17).
2025-04-03 16:12:25.696068: Волк переместился с (7, 18) в (8, 19). Голод: 21
2025-04-03 16:12:25.704331: Волк переместился с (16, 14) в (17, 13). Голод: 11
2025-04-03 16:12:25.712468: Медведь переместился с (0, 17) в (19, 17). Голод: 21
2025-04-03 16:12:26.681466: Волк переместился с (17, 13) в (16, 13). Голод: 13
2025-04-03 16:12:27.688979: Волк переместился с (16, 13) в (16, 12). Голод: 15
2025-04-03 16:12:28.676254: Волк переместился с (16, 12) в (16, 11). Голод: 17
2025-04-03 16:12:29.689332: Волк переместился с (16, 11) в (16, 10). Голод: 19
2025-04-03 16:12:30.684229: Волк умер от голода на (16, 10).
2025-04-03 16:12:30.684229: Волк переместился с (16, 10) в (16, 11). Голод: 21
