2025-03-27 17:06:25.239196: Волк (18, 7) съел Мышь на (19, 7). Голод: 0
2025-03-27 17:06:29.885520: Лиса переместился с (10, 4) в (10, 3). Голод: 3
2025-03-27 17:06:29.896809: Кролик переместился с (16, 19) в (16, 0). Голод: 3
2025-03-27 17:06:29.909259: Медведь переместился с (15, 5) в (15, 4). Голод: 3
2025-03-27 17:06:29.920546: Медведь переместился с (12, 12) в (13, 13). Голод: 1
2025-03-27 17:06:29.933870: Лиса переместился с (18, 8) в (18, 9). Голод: 1
2025-03-27 17:06:29.945300: Кролик переместился с (7, 15) в (7, 14). Голод: 1
2025-03-27 17:06:29.959866: Мышь переместился с (9, 16) в (8, 16). Голод: 1
2025-03-27 17:06:29.972130: Медведь переместился с (13, 11) в (14, 11). Голод: 1
2025-03-27 17:06:29.983912: Кролик переместился с (9, 13) в (9, 14). Голод: 1
2025-03-27 17:06:29.996224: Лиса переместился с (10, 13) в (9, 12). Голод: 1
2025-03-27 17:06:30.008523: Медведь переместился с (5, 2) в (5, 1). Голод: 3
2025-03-27 17:06:30.019852: Лиса переместился с (17, 18) в (18, 19). Голод: 1
2025-03-27 17:06:30.032285: Лошадь переместился с (19, 8) в (19, 7). Голод: 3
2025-03-27 17:06:30.043623: Мышь переместился с (8, 4) в (9, 3). Голод: 1
2025-03-27 17:06:30.055895: Медведь переместился с (3, 13) в (2, 14). Голод: 3
2025-03-27 17:06:30.068311: Орел переместился с (18, 12) в (17, 11). Голод: 3
2025-03-27 17:06:30.079631: Коза переместился с (7, 0) в (8, 0). Голод: 3
2025-03-27 17:06:30.090918: Мышь переместился с (11, 7) в (12, 8). Голод: 1
2025-03-27 17:06:30.103334: Орел переместился с (15, 15) в (16, 16). Голод: 3
2025-03-27 17:06:30.114646: Овца переместился с (0, 11) в (19, 10). Голод: 1
2025-03-27 17:06:30.125885: Кролик переместился с (9, 17) в (10, 17). Голод: 3
2025-03-27 17:06:30.138194: Орел переместился с (12, 9) в (13, 9). Голод: 3
2025-03-27 17:06:30.151041: Коза переместился с (16, 12) в (17, 13). Голод: 1
2025-03-27 17:06:30.162345: Мышь переместился с (3, 8) в (2, 9). Голод: 3
2025-03-27 17:06:30.174714: Лиса переместился с (0, 19) в (19, 18). Голод: 3
2025-03-27 17:06:30.189128: Олень (2, 4) съел растение на (1, 3). Голод: 0
2025-03-27 17:06:30.201256: Лиса (10, 3) съел Мышь на (9, 3). Голод: 0
2025-03-27 17:06:30.214251: Кролик (8, 9) съел растение на (9, 10). Голод: 0
2025-03-27 17:06:30.226249: Волк переместился с (19, 7) в (19, 8). Голод: 3
2025-03-27 17:06:30.238283: Волк переместился с (15, 14) в (15, 13). Голод: 3
2025-03-27 17:06:30.250250: Волк переместился с (3, 14) в (2, 14). Голод: 5
2025-03-27 17:06:30.262252: Волк переместился с (2, 11) в (2, 10). Голод: 5
2025-03-27 17:06:30.273609: Волк переместился с (5, 13) в (5, 12). Голод: 5
2025-03-27 17:06:30.286025: Волк переместился с (4, 16) в (5, 15). Голод: 5
2025-03-27 17:06:30.297377: Волк переместился с (11, 7) в (12, 7). Голод: 3
2025-03-27 17:06:30.309630: Волк переместился с (12, 3) в (13, 2). Голод: 5
2025-03-27 17:06:30.322098: Волк переместился с (9, 15) в (8, 16). Голод: 3
2025-03-27 17:06:30.333257: Волк переместился с (17, 1) в (17, 0). Голод: 3
2025-03-27 17:06:30.345555: Волк переместился с (13, 16) в (12, 17). Голод: 5
2025-03-27 17:06:30.356904: Волк переместился с (10, 19) в (11, 0). Голод: 5
2025-03-27 17:06:30.368316: Волк переместился с (5, 6) в (6, 6). Голод: 5
2025-03-27 17:06:30.380604: Волк переместился с (5, 15) в (5, 16). Голод: 3
2025-03-27 17:06:30.392900: Волк переместился с (19, 8) в (19, 9). Голод: 3
2025-03-27 17:06:30.413244: Волк переместился с (14, 16) в (13, 17). Голод: 5
2025-03-27 17:06:30.430649: Волк переместился с (5, 12) в (5, 11). Голод: 5
2025-03-27 17:06:30.448221: Волк переместился с (12, 12) в (11, 12). Голод: 5
2025-03-27 17:06:30.467690: Волк переместился с (17, 3) в (16, 2). Голод: 5
2025-03-27 17:06:30.486284: Волк переместился с (0, 12) в (19, 11). Голод: 5
2025-03-27 17:06:30.506206: Волк переместился с (3, 0) в (2, 1). Голод: 5
2025-03-27 17:06:30.519438: Волк переместился с (5, 18) в (6, 17). Голод: 5
2025-03-27 17:06:30.534664: Волк переместился с (10, 5) в (9, 4). Голод: 3
2025-03-27 17:06:30.547143: Волк переместился с (13, 17) в (14, 16). Голод: 5
2025-03-27 17:06:30.558375: Олень переместился с (2, 4) в (1, 4). Голод: 1
2025-03-27 17:06:30.570608: Лиса переместился с (10, 3) в (11, 2). Голод: 1
2025-03-27 17:06:30.582860: Медведь переместился с (15, 4) в (16, 3). Голод: 5
2025-03-27 17:06:30.594258: Медведь переместился с (13, 13) в (13, 12). Голод: 3
2025-03-27 17:06:30.606442: Орел переместился с (9, 19) в (9, 18). Голод: 5
2025-03-27 17:06:30.618817: Лиса переместился с (9, 12) в (8, 13). Голод: 3
2025-03-27 17:06:30.630187: Медведь переместился с (2, 14) в (3, 14). Голод: 5
2025-03-27 17:06:30.642515: Орел переместился с (17, 11) в (17, 12). Голод: 5
2025-03-27 17:06:30.653865: Коза переместился с (8, 0) в (7, 1). Голод: 5
2025-03-27 17:06:30.666295: Медведь переместился с (3, 12) в (2, 13). Голод: 5
2025-03-27 17:06:30.677673: Орел переместился с (16, 16) в (16, 17). Голод: 5
2025-03-27 17:06:30.689936: Кролик переместился с (10, 17) в (10, 16). Голод: 5
2025-03-27 17:06:30.702385: Орел переместился с (13, 9) в (14, 10). Голод: 5
2025-03-27 17:06:30.713729: Лиса переместился с (19, 18) в (19, 17). Голод: 5
2025-03-27 17:06:30.725003: Кролик переместился с (8, 9) в (9, 8). Голод: 1
2025-03-27 17:06:30.739399: Волк (19, 8) и Волк (19, 9) размножились. Новый детеныш на (19, 8)
2025-03-27 17:06:30.749552: Волк (5, 15) и Волк (5, 16) размножились. Новый детеныш на (5, 15)
2025-03-27 17:06:30.760554: Волк (12, 17) и Волк (13, 17) размножились. Новый детеныш на (12, 17)
2025-03-27 17:06:30.772590: Олень (1, 4) съел растение на (0, 5). Голод: 0
2025-03-27 17:06:30.784552: Медведь (3, 14) и Медведь (2, 13) размножились. Новый детеныш на (2, 13)
2025-03-27 17:06:30.796592: Кролик (10, 16) съел растение на (10, 15). Голод: 0
2025-03-27 17:06:30.807553: Кролик (9, 8) съел растение на (8, 8). Голод: 0
2025-03-27 17:06:30.820548: Волк переместился с (19, 8) в (19, 7). Голод: 5
2025-03-27 17:06:30.832547: Волк переместился с (15, 13) в (15, 12). Голод: 5
2025-03-27 17:06:30.844549: Волк переместился с (2, 14) в (3, 14). Голод: 7
2025-03-27 17:06:30.855552: Волк переместился с (2, 10) в (2, 9). Голод: 7
2025-03-27 17:06:30.867550: Волк переместился с (5, 12) в (4, 11). Голод: 7
2025-03-27 17:06:30.878547: Волк переместился с (5, 15) в (4, 14). Голод: 7
2025-03-27 17:06:30.890593: Волк переместился с (12, 7) в (13, 7). Голод: 5
2025-03-27 17:06:30.902593: Волк переместился с (13, 2) в (14, 2). Голод: 7
2025-03-27 17:06:30.915548: Волк переместился с (17, 0) в (18, 19). Голод: 5
2025-03-27 17:06:30.926588: Волк переместился с (12, 17) в (11, 18). Голод: 7
2025-03-27 17:06:30.938547: Волк переместился с (11, 0) в (11, 19). Голод: 7
2025-03-27 17:06:30.951548: Волк переместился с (6, 6) в (6, 5). Голод: 7
2025-03-27 17:06:30.969576: Волк переместился с (5, 16) в (6, 17). Голод: 5
2025-03-27 17:06:30.986551: Волк переместился с (13, 17) в (12, 17). Голод: 7
2025-03-27 17:06:31.009912: Волк переместился с (11, 12) в (10, 11). Голод: 7
2025-03-27 17:06:31.028511: Волк переместился с (16, 2) в (17, 1). Голод: 7
2025-03-27 17:06:31.048121: Волк переместился с (10, 10) в (11, 10). Голод: 7
2025-03-27 17:06:31.063804: Волк переместился с (14, 4) в (15, 5). Голод: 7
2025-03-27 17:06:31.076122: Волк переместился с (2, 1) в (3, 1). Голод: 7
2025-03-27 17:06:31.088428: Волк переместился с (9, 4) в (9, 5). Голод: 5
2025-03-27 17:06:31.102764: Волк переместился с (14, 16) в (15, 16). Голод: 7
2025-03-27 17:06:31.115144: Олень переместился с (1, 4) в (2, 3). Голод: 1
2025-03-27 17:06:31.127364: Медведь переместился с (16, 3) в (15, 2). Голод: 7
2025-03-27 17:06:31.139592: Лиса переместился с (18, 9) в (17, 9). Голод: 5
2025-03-27 17:06:31.151065: Орел переместился с (9, 18) в (8, 18). Голод: 7
2025-03-27 17:06:31.163359: Медведь переместился с (14, 11) в (14, 12). Голод: 5
2025-03-27 17:06:31.175643: Лиса переместился с (8, 13) в (9, 13). Голод: 5
2025-03-27 17:06:31.187932: Медведь переместился с (3, 14) в (3, 13). Голод: 7
2025-03-27 17:06:31.199154: Медведь переместился с (2, 13) в (1, 13). Голод: 7
2025-03-27 17:06:31.211381: Орел переместился с (16, 17) в (15, 16). Голод: 7
2025-03-27 17:06:31.222772: Кролик переместился с (10, 16) в (11, 15). Голод: 1
2025-03-27 17:06:31.235091: Орел переместился с (14, 10) в (15, 9). Голод: 7
2025-03-27 17:06:31.246424: Лиса переместился с (19, 17) в (18, 17). Голод: 7
2025-03-27 17:06:31.258897: Кролик переместился с (9, 8) в (8, 9). Голод: 1
2025-03-27 17:06:31.274277: Коза (7, 1) съел растение на (8, 2). Голод: 0
2025-03-27 17:06:31.284374: Кролик (8, 9) съел растение на (7, 9). Голод: 0
2025-03-27 17:06:31.296339: Волк переместился с (19, 7) в (0, 6). Голод: 7
2025-03-27 17:06:31.308385: Волк переместился с (15, 12) в (16, 12). Голод: 7
2025-03-27 17:06:31.320341: Волк переместился с (3, 14) в (4, 15). Голод: 9
2025-03-27 17:06:31.332344: Волк переместился с (2, 9) в (1, 9). Голод: 9
2025-03-27 17:06:31.344383: Волк переместился с (4, 11) в (5, 12). Голод: 9
2025-03-27 17:06:31.356747: Волк переместился с (13, 7) в (14, 7). Голод: 7
2025-03-27 17:06:31.369020: Волк переместился с (11, 19) в (10, 19). Голод: 9
2025-03-27 17:06:31.381452: Волк переместился с (19, 9) в (19, 8). Голод: 7
2025-03-27 17:06:31.392750: Волк переместился с (12, 17) в (12, 16). Голод: 9
2025-03-27 17:06:31.405118: Волк переместился с (10, 11) в (9, 11). Голод: 9
2025-03-27 17:06:31.417555: Волк переместился с (17, 1) в (16, 2). Голод: 9
2025-03-27 17:06:31.428914: Волк переместился с (15, 5) в (15, 4). Голод: 9
2025-03-27 17:06:31.441147: Волк переместился с (19, 11) в (19, 10). Голод: 9
2025-03-27 17:06:31.453463: Волк переместился с (9, 5) в (9, 4). Голод: 7
2025-03-27 17:06:31.464928: Волк переместился с (15, 16) в (16, 17). Голод: 9
2025-03-27 17:06:31.477270: Олень переместился с (2, 3) в (1, 4). Голод: 3
2025-03-27 17:06:31.493765: Медведь переместился с (15, 2) в (15, 1). Голод: 9
2025-03-27 17:06:31.511240: Лиса переместился с (17, 9) в (18, 8). Голод: 7
2025-03-27 17:06:31.529977: Орел переместился с (8, 18) в (7, 19). Голод: 9
2025-03-27 17:06:31.550224: Медведь переместился с (14, 12) в (13, 12). Голод: 7
2025-03-27 17:06:31.570893: Лиса переместился с (9, 13) в (10, 14). Голод: 7
2025-03-27 17:06:31.593011: Медведь переместился с (3, 13) в (4, 13). Голод: 9
2025-03-27 17:06:31.606433: Коза переместился с (7, 1) в (7, 2). Голод: 1
2025-03-27 17:06:31.617798: Орел переместился с (15, 9) в (16, 9). Голод: 9
2025-03-27 17:06:31.631088: Лиса переместился с (18, 17) в (18, 16). Голод: 9
2025-03-27 17:06:31.643332: Кролик переместился с (8, 9) в (9, 8). Голод: 1
2025-03-27 17:06:31.655714: Волк переместился с (5, 15) в (5, 14). Голод: 1
2025-03-27 17:06:31.667963: Медведь переместился с (2, 13) в (2, 12). Голод: 1
2025-03-27 17:06:32.215363: Волк (4, 15) и Волк (5, 14) размножились. Новый детеныш на (4, 14)
2025-03-27 17:06:32.217090: Олень (1, 4) съел растение на (1, 5). Голод: 0
2025-03-27 17:06:32.247170: Волк переместился с (16, 12) в (17, 12). Голод: 9
2025-03-27 17:06:32.263764: Волк переместился с (4, 15) в (3, 16). Голод: 11
2025-03-27 17:06:32.281565: Волк переместился с (1, 9) в (0, 9). Голод: 11
2025-03-27 17:06:32.292914: Волк переместился с (5, 12) в (5, 13). Голод: 11
2025-03-27 17:06:32.305162: Волк переместился с (10, 19) в (9, 0). Голод: 11
2025-03-27 17:06:32.316629: Волк переместился с (19, 8) в (18, 8). Голод: 9
2025-03-27 17:06:32.328915: Волк переместился с (12, 16) в (11, 17). Голод: 11
2025-03-27 17:06:32.341203: Волк переместился с (9, 11) в (8, 12). Голод: 11
2025-03-27 17:06:32.353477: Волк переместился с (16, 2) в (16, 3). Голод: 11
2025-03-27 17:06:32.364924: Волк переместился с (19, 10) в (0, 11). Голод: 11
2025-03-27 17:06:32.377163: Волк переместился с (3, 1) в (2, 1). Голод: 11
2025-03-27 17:06:32.389494: Волк переместился с (9, 4) в (8, 5). Голод: 9
2025-03-27 17:06:32.400916: Волк переместился с (16, 17) в (16, 18). Голод: 11
2025-03-27 17:06:32.413206: Олень переместился с (1, 4) в (0, 5). Голод: 1
2025-03-27 17:06:32.425525: Медведь переместился с (15, 1) в (15, 0). Голод: 11
2025-03-27 17:06:32.440306: Лиса переместился с (18, 8) в (18, 9). Голод: 9
2025-03-27 17:06:32.452648: Лиса переместился с (10, 14) в (11, 13). Голод: 9
2025-03-27 17:06:32.464887: Медведь переместился с (4, 13) в (4, 14). Голод: 11
2025-03-27 17:06:32.477299: Коза переместился с (7, 2) в (8, 2). Голод: 3
2025-03-27 17:06:32.489605: Орел переместился с (16, 9) в (16, 10). Голод: 11
2025-03-27 17:06:32.500950: Кролик переместился с (9, 8) в (10, 7). Голод: 3
2025-03-27 17:06:32.514322: Волк переместился с (5, 14) в (5, 13). Голод: 3
2025-03-27 17:06:32.526670: Медведь переместился с (2, 12) в (1, 13). Голод: 3
2025-03-27 17:06:33.214101: Волк (16, 3) и Волк (15, 4) размножились. Новый детеныш на (15, 3)
2025-03-27 17:06:33.215175: Олень (0, 5) съел растение на (0, 4). Голод: 0
2025-03-27 17:06:33.245673: Коза (8, 2) съел растение на (7, 3). Голод: 0
2025-03-27 17:06:33.261183: Волк переместился с (0, 9) в (1, 9). Голод: 13
2025-03-27 17:06:33.273507: Волк переместился с (5, 13) в (4, 14). Голод: 13
2025-03-27 17:06:33.285981: Волк переместился с (9, 0) в (8, 19). Голод: 13
2025-03-27 17:06:33.298280: Волк переместился с (18, 8) в (18, 7). Голод: 11
2025-03-27 17:06:33.310520: Волк переместился с (16, 3) в (15, 4). Голод: 13
2025-03-27 17:06:33.321809: Волк переместился с (15, 4) в (15, 5). Голод: 13
2025-03-27 17:06:33.334274: Волк переместился с (0, 11) в (0, 10). Голод: 13
2025-03-27 17:06:33.346556: Волк переместился с (2, 1) в (2, 0). Голод: 13
2025-03-27 17:06:33.358887: Волк переместился с (8, 5) в (8, 4). Голод: 11
2025-03-27 17:06:33.371321: Олень переместился с (0, 5) в (19, 4). Голод: 1
2025-03-27 17:06:33.383607: Медведь переместился с (15, 0) в (16, 0). Голод: 13
2025-03-27 17:06:33.394942: Лиса переместился с (18, 9) в (17, 10). Голод: 11
2025-03-27 17:06:33.407174: Лиса переместился с (11, 13) в (12, 13). Голод: 11
2025-03-27 17:06:33.419638: Коза переместился с (8, 2) в (7, 2). Голод: 1
2025-03-27 17:06:33.431960: Орел переместился с (16, 10) в (15, 10). Голод: 13
2025-03-27 17:06:34.211646: Волк (1, 9) и Волк (0, 10) размножились. Новый детеныш на (0, 9)
2025-03-27 17:06:34.212722: Коза (7, 2) съел растение на (6, 2). Голод: 0
2025-03-27 17:06:34.244225: Волк переместился с (1, 9) в (2, 9). Голод: 15
2025-03-27 17:06:34.262157: Волк переместился с (18, 7) в (18, 6). Голод: 13
2025-03-27 17:06:34.278773: Волк переместился с (15, 4) в (15, 5). Голод: 15
2025-03-27 17:06:34.295354: Волк переместился с (15, 5) в (16, 5). Голод: 15
2025-03-27 17:06:34.308677: Волк переместился с (0, 10) в (19, 10). Голод: 15
2025-03-27 17:06:34.321: Волк переместился с (2, 0) в (2, 19). Голод: 15
2025-03-27 17:06:34.332426: Волк переместился с (8, 4) в (9, 4). Голод: 13
2025-03-27 17:06:34.344732: Олень переместился с (19, 4) в (19, 5). Голод: 3
2025-03-27 17:06:34.357086: Лиса переместился с (12, 13) в (11, 12). Голод: 13
2025-03-27 17:06:34.369535: Коза переместился с (7, 2) в (8, 3). Голод: 1
2025-03-27 17:06:34.381853: Орел переместился с (15, 10) в (15, 11). Голод: 15
2025-03-27 17:06:34.394161: Волк переместился с (15, 3) в (16, 3). Голод: 1
2025-03-27 17:06:35.214911: Волк (9, 4) съел Коза на (8, 3). Голод: 0
2025-03-27 17:06:35.216022: Олень (19, 5) съел растение на (18, 6). Голод: 0
2025-03-27 17:06:35.247709: Волк переместился с (15, 5) в (16, 6). Голод: 17
2025-03-27 17:06:35.263170: Волк переместился с (16, 5) в (15, 6). Голод: 17
2025-03-27 17:06:35.274776: Волк переместился с (19, 10) в (0, 11). Голод: 17
2025-03-27 17:06:35.286119: Волк переместился с (2, 19) в (2, 18). Голод: 17
2025-03-27 17:06:35.298295: Волк переместился с (9, 4) в (10, 3). Голод: 1
2025-03-27 17:06:35.310926: Олень переместился с (19, 5) в (18, 6). Голод: 1
2025-03-27 17:06:35.322226: Лиса переместился с (11, 12) в (10, 13). Голод: 15
2025-03-27 17:06:35.334655: Коза переместился с (8, 3) в (8, 4). Голод: 3
2025-03-27 17:06:35.346959: Орел переместился с (15, 11) в (16, 12). Голод: 17
2025-03-27 17:06:35.359251: Волк переместился с (16, 3) в (15, 3). Голод: 3
2025-03-27 17:06:36.215836: Волк переместился с (2, 9) в (1, 8). Голод: 19
2025-03-27 17:06:36.217003: Волк переместился с (16, 6) в (15, 7). Голод: 19
2025-03-27 17:06:36.245412: Волк переместился с (15, 6) в (16, 7). Голод: 19
2025-03-27 17:06:36.265008: Волк переместился с (0, 11) в (19, 11). Голод: 19
2025-03-27 17:06:36.284842: Волк переместился с (2, 18) в (1, 18). Голод: 19
2025-03-27 17:06:36.303487: Волк переместился с (10, 3) в (11, 3). Голод: 3
2025-03-27 17:06:36.318588: Олень переместился с (18, 6) в (17, 5). Голод: 3
2025-03-27 17:06:36.332063: Лиса переместился с (10, 13) в (11, 14). Голод: 17
2025-03-27 17:06:36.343394: Орел переместился с (16, 12) в (17, 13). Голод: 19
2025-03-27 17:06:36.355663: Волк переместился с (15, 3) в (16, 4). Голод: 5
2025-03-27 17:06:36.367126: Волк переместился с (0, 9) в (19, 9). Голод: 3
2025-03-27 17:06:37.215807: Олень (17, 5) съел растение на (18, 4). Голод: 0
2025-03-27 17:06:37.216834: Волк (16, 4) съел Олень на (17, 5). Голод: 0
2025-03-27 17:06:37.247401: Волк умер от голода на (1, 8).
2025-03-27 17:06:37.263968: Волк умер от голода на (15, 7).
2025-03-27 17:06:37.278527: Волк умер от голода на (16, 7).
2025-03-27 17:06:37.290935: Волк умер от голода на (19, 11).
2025-03-27 17:06:37.303299: Волк умер от голода на (1, 18).
2025-03-27 17:06:37.315549: Орел умер от голода на (17, 13).
2025-03-27 17:06:37.327981: Волк переместился с (1, 8) в (2, 9). Голод: 21
2025-03-27 17:06:37.340250: Волк переместился с (15, 7) в (16, 7). Голод: 21
2025-03-27 17:06:37.351591: Волк переместился с (16, 7) в (17, 8). Голод: 21
2025-03-27 17:06:37.363989: Волк переместился с (19, 11) в (0, 11). Голод: 21
2025-03-27 17:06:37.376259: Волк переместился с (1, 18) в (0, 18). Голод: 21
2025-03-27 17:06:37.387589: Олень переместился с (17, 5) в (18, 5). Голод: 1
2025-03-27 17:06:37.400003: Лиса переместился с (11, 14) в (11, 15). Голод: 19
2025-03-27 17:06:37.412281: Орел переместился с (17, 13) в (18, 14). Голод: 21
2025-03-27 17:06:37.424780: Волк переместился с (16, 4) в (15, 4). Голод: 1
2025-03-27 17:06:37.437102: Волк переместился с (19, 9) в (18, 10). Голод: 5
2025-03-27 17:06:38.213916: Волк переместился с (11, 3) в (12, 3). Голод: 7
2025-03-27 17:06:38.214914: Волк переместился с (15, 4) в (15, 3). Голод: 3
2025-03-27 17:06:38.248693: Волк переместился с (18, 10) в (17, 11). Голод: 7
2025-03-27 17:06:39.212131: Волк переместился с (12, 3) в (11, 4). Голод: 9
2025-03-27 17:06:39.213258: Волк переместился с (15, 3) в (15, 4). Голод: 5
2025-03-27 17:06:39.239498: Волк переместился с (17, 11) в (16, 12). Голод: 9
